"","Filename","DMIT_ID","DMIT_Name","TansectNum","TransectType","Date","FieldTeam","PointType","IndicatorNum","Lat_DecDeg","Long_DecDeg","Elevation_ftNAVD88","Parameter","Value"
"1","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",1,"Hydrologic",2015-12-04,"Hart, Holmberg, Richardson, Lindsey, Garrett-Kraus","Lichen Line",1,28.10765,-80.9781,59.36,NA,NA
"2","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",1,"Hydrologic",2015-12-04,"Hart, Holmberg, Richardson, Lindsey, Garrett-Kraus","Lichen Line",2,28.107583333,-80.978066666,59.32,NA,NA
"3","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",1,"Hydrologic",2015-12-04,"Hart, Holmberg, Richardson, Lindsey, Garrett-Kraus","Lichen Line",3,28.10745,-80.978083333,59.4,NA,NA
"4","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",1,"Soil",2015-12-04,"Hart, Holmberg, Richardson","Wetland Boundary",1,28.10788333,-80.9784,58.57,"S6","Depth: 6 to 18 inches"
"5","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",1,"Soil",2015-12-04,"Hart, Holmberg, Richardson","Wetland Boundary",1,28.10788333,-80.9784,58.57,"S8","Depth: 3 to 18 inches"
"6","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",1,"Soil",2015-12-04,"Hart, Holmberg, Richardson","Hydric @ Surface",2,28.10781666,-80.97833333,57.93,"S8","Depth: 0 to 13 inches"
"7","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",1,"Soil",2015-12-04,"Hart, Holmberg, Richardson","Hydric @ Surface",2,28.10781666,-80.97833333,57.93,"S7","Depth: 0 to 4 inches"
"8","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",1,"Soil",2015-12-04,"Hart, Holmberg, Richardson","Muck @ Surface",3,28.10771666,-80.97816666,NA,"S6","Depth: 3 to 12 inches"
"9","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",1,"Soil",2015-12-04,"Hart, Holmberg, Richardson","Muck @ Surface",3,28.10771666,-80.97816666,NA,"A8","Depth: 0 to 1 inches"
"10","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",1,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Wetland Boundary",1,28.10788333,-80.9784,58.57,"Canopy_OBL","0"
"11","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",1,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Wetland Boundary",1,28.10788333,-80.9784,58.57,"Canopy_FACW","0"
"12","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",1,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Wetland Boundary",1,28.10788333,-80.9784,58.57,"Canopy_FAC","0"
"13","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",1,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Wetland Boundary",1,28.10788333,-80.9784,58.57,"Canopy_UPL","0"
"14","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",1,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Wetland Boundary",1,28.10788333,-80.9784,58.57,"Sub-Canopy_OBL","0"
"15","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",1,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Wetland Boundary",1,28.10788333,-80.9784,58.57,"Sub-Canopy_FACW","0"
"16","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",1,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Wetland Boundary",1,28.10788333,-80.9784,58.57,"Sub-Canopy_FAC","0"
"17","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",1,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Wetland Boundary",1,28.10788333,-80.9784,58.57,"Sub-Canopy_UPL","0"
"18","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",1,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Wetland Boundary",1,28.10788333,-80.9784,58.57,"Groundcover_OBL","14"
"19","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",1,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Wetland Boundary",1,28.10788333,-80.9784,58.57,"Groundcover_FACW","49"
"20","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",1,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Wetland Boundary",1,28.10788333,-80.9784,58.57,"Groundcover_FAC","20"
"21","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",1,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Wetland Boundary",1,28.10788333,-80.9784,58.57,"Groundcover_UPL","7"
"22","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",1,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Hydric @ Surface",2,28.10781666,-80.97833333,57.93,"Canopy_OBL","0"
